,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
204,cdm_run_v21524854414741,0,square,age3,1524854439893.0,2018-04-27T18:40:39.893Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21524854414741.png
205,cdm_run_v21524854452128,0,square,age3,1524854483202.0,2018-04-27T18:41:23.202Z,3,3.608,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21524854452128.png
206,cdm_run_v21524854452128,1,shape,age3,1524854493118.0,2018-04-27T18:41:33.118Z,4,1.096,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age3_cdm_run_v21524854452128.png
207,cdm_run_v21524854929261,0,square,age7,1524855022184.0,2018-04-27T18:50:22.184Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v21524854929261.png
208,cdm_run_v21524854929261,1,shape,age7,1524855038864.0,2018-04-27T18:50:38.864Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v21524854929261.png
209,cdm_run_v21524854929261,2,this circle,age7,1524855052192.0,2018-04-27T18:50:52.192Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v21524854929261.png
210,cdm_run_v21524854929261,3,a car,age7,1524855083649.0,2018-04-27T18:51:23.649Z,10,11.126,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age7_cdm_run_v21524854929261.png
211,cdm_run_v21524854929261,4,a tree,age7,1524855104076.0,2018-04-27T18:51:44.076Z,10,8.426,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age7_cdm_run_v21524854929261.png
212,cdm_run_v21524854929261,5,a house,age7,1524855140151.0,2018-04-27T18:52:20.151Z,17,22.371,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age7_cdm_run_v21524854929261.png
213,cdm_run_v21524854929261,6,a cup,age7,1524855157922.0,2018-04-27T18:52:37.922Z,5,7.351,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age7_cdm_run_v21524854929261.png
214,cdm_run_v21524854929261,7,a fish,age7,1524855168598.0,2018-04-27T18:52:48.598Z,2,0.52,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v21524854929261.png
215,cdm_run_v21524854929261,8,a person,age7,1524855199044.0,2018-04-27T18:53:19.044Z,20,21.912,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age7_cdm_run_v21524854929261.png
216,cdm_run_v21524854929261,9,a boat,age7,1524855218310.0,2018-04-27T18:53:38.310Z,4,9.714,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age7_cdm_run_v21524854929261.png
217,cdm_run_v21524854929261,10,a dog,age7,1524855244904.0,2018-04-27T18:54:04.903Z,11,15.687,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v21524854929261.png
218,cdm_run_v21524854929261,11,something you love,age7,1524855261900.0,2018-04-27T18:54:21.900Z,2,1.084,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age7_cdm_run_v21524854929261.png
219,cdm_run_v21524855284958,0,square,age5,1524855315477.0,2018-04-27T18:55:15.477Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age5_cdm_run_v21524855284958.png
220,cdm_run_v21524855284958,1,shape,age5,1524855338855.0,2018-04-27T18:55:38.855Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age5_cdm_run_v21524855284958.png
221,cdm_run_v21524855284958,2,this circle,age5,1524855355360.0,2018-04-27T18:55:55.360Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age5_cdm_run_v21524855284958.png
222,cdm_run_v21524855358955,0,square,age5,1524855395409.0,2018-04-27T18:56:35.409Z,5,9.018,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age5_cdm_run_v21524855358955.png
223,cdm_run_v21524855358955,1,shape,age5,1524855415222.0,2018-04-27T18:56:55.222Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age5_cdm_run_v21524855358955.png
